iter	Passed	Remaining
872	10638	1547
873	10651	1535
874	10663	1523
875	10676	1511
876	10687	1498
877	10700	1486
878	10713	1474
879	10726	1462
880	10738	1450
881	10749	1438
882	10763	1426
883	10775	1414
884	10788	1401
885	10801	1389
886	10813	1377
887	10826	1365
888	10846	1354
889	10858	1342
890	10871	1329
891	10883	1317
892	10896	1305
893	10907	1293
894	10919	1281
895	10931	1268
896	10943	1256
897	10954	1244
898	10966	1232
899	10978	1219
900	10989	1207
901	11001	1195
902	11013	1183
903	11025	1170
904	11036	1158
905	11048	1146
906	11060	1134
907	11071	1121
908	11083	1109
909	11095	1097
910	11107	1085
911	11119	1072
912	11130	1060
913	11142	1048
914	11153	1036
915	11166	1023
916	11177	1011
917	11188	999
918	11200	987
919	11211	974
920	11223	962
921	11235	950
922	11246	938
923	11258	926
924	11270	913
925	11282	901
926	11294	889
927	11305	877
928	11317	864
929	11329	852
930	11341	840
931	11353	828
932	11365	816
933	11376	803
934	11388	791
935	11400	779
936	11412	767
937	11423	755
938	11435	742
939	11447	730
940	11459	718
941	11471	706
942	11483	694
943	11494	681
944	11506	669
945	11517	657
946	11542	646
947	11554	633
948	11566	621
949	11578	609
950	11589	597
951	11600	584
952	11612	572
953	11624	560
954	11635	548
955	11647	536
956	11659	523
957	11671	511
958	11683	499
959	11695	487
960	11707	475
961	11718	462
962	11730	450
963	11742	438
964	11753	426
965	11765	414
966	11777	401
967	11789	389
968	11800	377
969	11813	365
970	11825	353
971	11836	340
972	11848	328
973	11859	316
974	11871	304
975	11883	292
976	11895	280
977	11908	267
978	11920	255
979	11931	243
980	11943	231
981	11955	219
982	11966	206
983	11978	194
984	11990	182
985	12002	170
986	12014	158
987	12026	146
988	12039	133
989	12052	121
990	12065	109
991	12077	97
992	12089	85
993	12101	73
994	12114	60
995	12125	48
996	12137	36
997	12149	24
998	12160	12
999	12172	0
